f1,stats_shoton,coordinates_0,coordinates_1,event_incident_typefk,elapsed,subtype,player1,sortorder,team,id,n,original_index
2758,1,,,553,32,big chance shot,23933,2,10261,1157155,243,240
2759,1,,,553,62,big chance shot,24205,1,10261,1157907,273,240
2760,1,,,138,69,volley,23933,0,10261,1158060,288,240
2761,1,,,135,75,shot,36412,1,10261,1158166,291,240
2762,1,,,553,78,big chance shot,36412,1,10261,1158223,296,240
2763,1,,,144,79,volley,38831,0,10261,1158237,297,240
2764,1,,,553,88,big chance shot,47382,1,10261,1158403,307,240
2765,0,,,61,2,blocked_shot,36012,2,8668,1171971,263,241
2766,1,,,137,15,distance,38373,0,10261,1172122,277,241
2767,1,,,135,18,shot,36012,0,8668,1172168,283,241
2768,1,,,137,23,distance,37475,2,10261,1172223,289,241
2769,0,,,157,30,direct_freekick,24205,0,10261,1172301,76,241
2770,1,,,135,39,shot,24006,1,8668,1172430,310,241
2771,0,,,61,60,blocked_shot,24006,2,8668,1172880,336,241
2772,1,,,153,60,shot,24160,3,8668,1172881,334,241
2773,0,,,61,64,blocked_shot,24006,2,8668,1172957,352,241
2774,0,,,61,11,blocked_shot,24205,0,10261,1191298,317,242
2775,0,,,61,20,blocked_shot,33881,0,10194,1191396,290,242
2776,0,,,494,34,blocked_shot,30929,0,10261,1191560,339,242
2777,0,,,61,39,blocked_shot,26163,2,10261,1191616,312,242
2778,0,,,61,45,blocked_shot,24205,1,10261,1191670,305,242
2779,0,,,61,53,blocked_shot,33881,2,10194,1191796,350,242
2780,1,,,8,68,header,30988,0,10194,1191867,380,242
2781,1,,,140,70,bicycle_kick,47382,1,10261,1191881,319,242
2782,1,,,312,75,deflected,23579,1,10261,1191919,338,242
2783,1,,,135,77,shot,23579,2,10261,1191939,375,242
2784,0,,,61,89,blocked_shot,33852,3,10261,1192032,348,242
2785,1,,,311,90,deflected,23579,0,10261,1192088,356,242
2786,1,,,136,3,header,24225,0,10261,1204170,252,243
2787,0,,,61,11,blocked_shot,38807,2,8456,1204213,258,243
2788,1,,,150,23,volley,30929,2,10261,1204267,273,243
2789,1,,,153,35,shot,23782,2,8456,1204359,291,243
2790,0,,,61,40,blocked_shot,38817,2,8456,1204436,297,243
2791,1,,,153,55,shot,38817,1,8456,1204933,317,243
2792,0,,,494,73,blocked_shot,24205,0,10261,1205105,330,243
2793,1,,,135,74,shot,33852,3,10261,1205126,333,243
2794,0,,,61,75,blocked_shot,38817,1,8456,1205137,334,243
2795,0,,,61,78,blocked_shot,38817,0,8456,1205209,337,243
2796,1,,,135,78,shot,38817,2,8456,1205212,338,243
2797,1,,,135,79,shot,24159,0,8456,1205233,340,243
2798,1,,,142,41,header,24899,1,10261,1214391,234,244
2799,1,,,135,84,shot,71550,0,8528,1215202,285,244
2800,0,,,61,2,blocked_shot,24223,1,8654,1231497,192,245
2801,1,,,313,18,deflected,38373,0,10261,1231593,197,245
2802,1,,,137,45,distance,24205,0,10261,1231698,229,245
2803,1,,,137,47,distance,47382,0,10261,1231763,220,245
2804,1,,,313,74,deflected,24205,0,10261,1231858,226,245
2805,1,,,313,81,deflected,37475,0,10261,1231879,232,245
2806,1,,,313,83,deflected,24225,0,10261,1231887,239,245
2807,1,,,137,85,distance,33852,0,10261,1231897,249,245
2808,0,,,61,2,blocked_shot,36412,1,10261,1411722,268,246
2809,1,,,135,5,shot,23933,1,10261,1411736,271,246
2810,0,,,61,17,blocked_shot,25075,0,8658,1411827,284,246
2811,1,,,153,21,shot,38567,1,8658,1411856,292,246
2812,1,,,136,36,header,35454,1,10261,1411976,303,246
2813,1,,,136,66,header,31953,3,8658,1412267,344,246
2814,0,,,61,69,blocked_shot,23760,1,8658,1412285,347,246
2815,1,,,137,72,distance,38373,1,10261,1412314,352,246
2816,1,,,136,78,header,34193,3,8658,1412368,361,246
2817,1,,,147,6,shot,160713,0,8528,1348563,253,247
2818,1,,,136,6,header,11736,2,8528,1348565,255,247
2819,1,,,138,17,volley,36412,1,10261,1348619,265,247
2820,1,,,153,19,shot,24205,1,10261,1348641,271,247
2821,0,,,61,40,blocked_shot,36412,0,10261,1348734,293,247
2822,1,,,153,43,shot,33852,2,10261,1348755,297,247
2823,0,,,61,83,blocked_shot,18859,0,8528,1348976,334,247
2824,0,,,61,6,blocked_shot,49571,0,10261,1351489,259,248
